molecule,prec,MPI,OMP,Nuclear,Coulomb dens,Coulomb pot,XC dens,XC pot,XCFun,Total Fock
alkane_006,4,02,01,9.09645e+00,4.78607e+00,2.61229e+01,4.02586e+00,6.54166e-01,1.69547e+01,6.20113e+01
alkane_006,4,02,02,4.57734e+00,2.59227e+00,1.34086e+01,2.11726e+00,3.57394e-01,8.46451e+00,3.17446e+01
alkane_006,4,02,04,2.28774e+00,1.39343e+00,6.79118e+00,1.11712e+00,1.95522e-01,4.28352e+00,1.62179e+01
alkane_006,4,02,08,1.22251e+00,8.10192e-01,3.56746e+00,6.24781e-01,1.28649e-01,2.12115e+00,8.58723e+00
alkane_006,4,02,16,5.87831e-01,5.36104e-01,2.03784e+00,3.88723e-01,9.62609e-02,1.06567e+00,4.80929e+00
alkane_006,4,02,32,3.02245e-01,4.06719e-01,1.32141e+00,2.80385e-01,8.61626e-02,5.54042e-01,3.04062e+00
alkane_006,4,04,01,9.11857e+00,9.38813e+00,2.64013e+01,2.32176e+00,6.74547e-01,1.68315e+01,6.51319e+01
alkane_006,4,04,02,4.64592e+00,1.62009e+00,1.32399e+01,1.22879e+00,3.75894e-01,8.43729e+00,2.97847e+01
alkane_006,4,04,04,2.28983e+00,9.63023e-01,6.89595e+00,7.16610e-01,2.29337e-01,4.28529e+00,1.55509e+01
alkane_006,4,04,08,1.15304e+00,5.92729e-01,3.61137e+00,4.42488e-01,1.49417e-01,2.15526e+00,8.23445e+00
alkane_006,4,04,16,5.87592e-01,4.31177e-01,2.12316e+00,3.06135e-01,1.43648e-01,1.11075e+00,4.83043e+00
alkane_006,4,04,32,3.02406e-01,4.83501e-01,1.30672e+00,2.08925e-01,9.63276e-02,5.49007e-01,3.04937e+00
alkane_006,4,08,01,9.11522e+00,2.85602e+00,2.65137e+01,1.66272e+00,6.83205e-01,1.69126e+01,5.81818e+01
alkane_006,4,08,02,4.57340e+00,1.63984e+00,1.33065e+01,1.11502e+00,3.78192e-01,8.46909e+00,2.97521e+01
alkane_006,4,08,04,2.30224e+00,1.13300e+00,6.81017e+00,5.98672e-01,2.18995e-01,4.26418e+00,1.55043e+01
alkane_006,4,08,08,1.23608e+00,8.60974e-01,3.72687e+00,4.16667e-01,1.42703e-01,2.15635e+00,8.67661e+00
alkane_006,4,08,16,5.84980e-01,6.71673e-01,2.12149e+00,3.15072e-01,1.07215e-01,1.07718e+00,4.98872e+00
alkane_006,4,08,32,3.02608e-01,5.62736e-01,1.32424e+00,2.67627e-01,9.13893e-02,5.53037e-01,3.20021e+00
alkane_006,4,16,01,9.13981e+00,6.97133e+00,2.67111e+01,1.70674e+00,6.80914e-01,1.69345e+01,6.26064e+01
alkane_006,4,16,02,4.58971e+00,2.74965e+00,1.35418e+01,1.10545e+00,3.82564e-01,8.50555e+00,3.11548e+01
alkane_006,4,16,04,2.33912e+00,1.85569e+00,6.89044e+00,1.02119e+00,2.20154e-01,4.28307e+00,1.67922e+01
alkane_006,4,16,08,1.19265e+00,1.54455e+00,3.80131e+00,5.98988e-01,1.35989e-01,2.15513e+00,9.55264e+00
alkane_006,4,16,16,5.83813e-01,1.31291e+00,2.11987e+00,5.00898e-01,1.00500e-01,1.07671e+00,5.79571e+00
alkane_006,4,16,32,3.03390e-01,1.22714e+00,1.31327e+00,6.10952e-01,8.91230e-02,5.49602e-01,4.19413e+00
alkane_006,5,01,01,2.91364e+01,2.33762e+01,6.60297e+01,2.01783e+01,1.20517e+00,3.37749e+01,1.74422e+02
alkane_006,5,01,02,1.42598e+01,1.22032e+01,3.39669e+01,1.04680e+01,6.46039e-01,1.72582e+01,8.92600e+01
alkane_006,5,01,04,7.02806e+00,6.42018e+00,1.71593e+01,5.84639e+00,3.90082e-01,9.30281e+00,4.64296e+01
alkane_006,5,01,08,3.54268e+00,3.42846e+00,9.34616e+00,2.86767e+00,1.99479e-01,4.26607e+00,2.38368e+01
alkane_006,5,01,16,1.78530e+00,2.02260e+00,5.32910e+00,1.62193e+00,1.34418e-01,2.18248e+00,1.32299e+01
alkane_006,5,01,32,9.25072e-01,1.33142e+00,3.20326e+00,1.03118e+00,1.03759e-01,1.09070e+00,7.81744e+00
alkane_006,5,02,01,2.78912e+01,1.28714e+01,6.65483e+01,1.09697e+01,1.29096e+00,3.40103e+01,1.54326e+02
